  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 30100 250.610825 252.628571
 i,egev(:,i= 30200 251.196960 252.405792
 i,egev(:,i= 30300 248.341003 252.674088
 i,egev(:,i= 30400 253.214600 252.484543
 i,egev(:,i= 30500 252.171722 252.756012
 i,egev(:,i= 30600 253.030884 252.716202
 i,egev(:,i= 30700 251.881409 251.151199
 i,egev(:,i= 30800 253.152939 252.523911
 i,egev(:,i= 30900 245.570999 252.657150
 i,egev(:,i= 31000 252.917114 252.509628
 i,egev(:,i= 31100 252.995605 252.678619
 i,egev(:,i= 31200 253.131851 242.606583
 i,egev(:,i= 31300 252.726303 251.829666
 i,egev(:,i= 31400 252.364655 252.787354
 i,egev(:,i= 31500 253.498917 252.569260
 i,egev(:,i= 31600 251.963974 253.075348
 i,egev(:,i= 31700 246.304245 252.419861
 i,egev(:,i= 31800 252.890121 252.860229
 i,egev(:,i= 31900 252.650940 252.564941
 i,egev(:,i= 32000 251.611801 251.851089
 i,egev(:,i= 32100 252.126831 252.856781
 i,egev(:,i= 32200 252.922073 252.275421
 i,egev(:,i= 32300 253.132065 252.747360
 i,egev(:,i= 32400 252.328140 233.228516
 i,egev(:,i= 32500 251.938248 252.853546
 i,egev(:,i= 32600 251.995010 252.753784
 i,egev(:,i= 32700 249.913483 252.422485
 i,egev(:,i= 32800 252.895706 252.412964
 i,egev(:,i= 32900 252.540131 252.396957
 i,egev(:,i= 33000 249.764221 238.324127
 i,egev(:,i= 33100 252.292130 252.551041
 i,egev(:,i= 33200 252.107559 252.618118
 i,egev(:,i= 33300 252.511017 252.607895
 i,egev(:,i= 33400 252.985901 252.622147
 i,egev(:,i= 33500 252.989777 252.574905
 i,egev(:,i= 33600 252.079498 249.431320
 i,egev(:,i= 33700 252.082520 252.689285
 i,egev(:,i= 33800 240.432037 252.765411
 i,egev(:,i= 33900 253.001556 252.720734
 i,egev(:,i= 34000 252.628693 252.794495
 i,egev(:,i= 34100 252.655457 252.660934
 i,egev(:,i= 34200 252.749207 252.586563
 i,egev(:,i= 34300 252.296188 252.571182
 i,egev(:,i= 34400 252.538162 252.589294
 i,egev(:,i= 34500 252.869888 252.725418
